location_id,location_name,locality,timezone,country_id,country_iso,country_name,owner_id,owner,provider_id,provider,isMonitor,monitor_type,isMobile,latitude,longitude,instrument_ids,instrument_names,n_pm25_sensors,pm25_sensor_ids,openaq_url,Region,Requested_Country,Requested_ISO
8645,Kampala,N/A,Africa/Kampala,133,UG,Uganda,4,Unknown Governmental Organization,119,AirNow,TRUE,Reference monitor,FALSE,0.300225,32.591554,2,Government Monitor,1,25086,https://explore.openaq.org/locations/8645,Africa,Uganda,UG
5714432,Makerere University Weather Station,,Africa/Kampala,133,UG,Uganda,22712,AirQo,66,AirGradient,FALSE,Non-reference / air sensor,FALSE,0.33354,32.56861,26,AirGradient Open Air Max Generation 1 (O-M-1PPST-CE),1,14069448,https://explore.openaq.org/locations/5714432,Africa,Uganda,UG
5976204,Kyebando ,,Africa/Kampala,133,UG,Uganda,22712,AirQo,66,AirGradient,FALSE,Non-reference / air sensor,FALSE,0.358762,32.584203,27,AirGradient Open Air Max Generation 1 (O-M-1PPSTON-CE),1,14259288,https://explore.openaq.org/locations/5976204,Africa,Uganda,UG
5987684,Sir Apollo Kagwa Road,,Africa/Kampala,133,UG,Uganda,22712,AirQo,66,AirGradient,FALSE,Non-reference / air sensor,FALSE,0.33354,32.56861,27,AirGradient Open Air Max Generation 1 (O-M-1PPSTON-CE),1,14267480,https://explore.openaq.org/locations/5987684,Africa,Uganda,UG
5987686,Salama Road,,Africa/Kampala,133,UG,Uganda,22712,AirQo,66,AirGradient,FALSE,Non-reference / air sensor,FALSE,0.33354,32.56861,27,AirGradient Open Air Max Generation 1 (O-M-1PPSTON-CE),1,14267485,https://explore.openaq.org/locations/5987686,Africa,Uganda,UG
5988718,Mpelerwe ,,Africa/Kampala,133,UG,Uganda,22712,AirQo,66,AirGradient,FALSE,Non-reference / air sensor,FALSE,0.33354,32.56861,27,AirGradient Open Air Max Generation 1 (O-M-1PPSTON-CE),1,14268326,https://explore.openaq.org/locations/5988718,Africa,Uganda,UG
6094926,Nansana Municipal Council offices,,Africa/Kampala,133,UG,Uganda,12,AirGradient,66,AirGradient,FALSE,Non-reference / air sensor,FALSE,0.363545237946994,32.5292540629891,24,AirGradient Open Air Generation 1 (O-1PST),1,14373655,https://explore.openaq.org/locations/6094926,Africa,Uganda,UG
6112501,aq_g5_53,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.28863,32.60297,1,N/A,1,14502608,https://explore.openaq.org/locations/6112501,Africa,Uganda,UG
6112502,aq_g5_48,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.300454937503055,32.6046972163187,1,N/A,1,14502610,https://explore.openaq.org/locations/6112502,Africa,Uganda,UG
6112503,aq_g5_46,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.25776,32.63686,1,N/A,1,14502604,https://explore.openaq.org/locations/6112503,Africa,Uganda,UG
6112504,aq_g5_97,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.322924497659538,32.6285049751201,1,N/A,1,14502594,https://explore.openaq.org/locations/6112504,Africa,Uganda,UG
6112505,airqo-g5184,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.594025149762088,30.5960819765847,1,N/A,1,14502600,https://explore.openaq.org/locations/6112505,Africa,Uganda,UG
6112506,aq_g5_43,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.296925547761309,32.5766410947816,1,N/A,1,14502612,https://explore.openaq.org/locations/6112506,Africa,Uganda,UG
6112507,aq_g520,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.30991,32.60045,1,N/A,1,14502606,https://explore.openaq.org/locations/6112507,Africa,Uganda,UG
6112508,aq_43,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.28907,32.58959,1,N/A,1,14502602,https://explore.openaq.org/locations/6112508,Africa,Uganda,UG
6112509,airqo-g5168,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.618185236376909,30.6563753817923,1,N/A,1,14502598,https://explore.openaq.org/locations/6112509,Africa,Uganda,UG
6112510,aq_72,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.2689,32.588,1,N/A,1,14502596,https://explore.openaq.org/locations/6112510,Africa,Uganda,UG
6113133,airqo_g5567,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.346825791567387,32.5890474058527,1,N/A,1,14506876,https://explore.openaq.org/locations/6113133,Africa,Uganda,UG
6113134,airqo_g5563,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.311874418516148,32.5623506321347,1,N/A,1,14506874,https://explore.openaq.org/locations/6113134,Africa,Uganda,UG
6113203,Kabumbi Nansana,,Africa/Kampala,133,UG,Uganda,12,AirGradient,66,AirGradient,FALSE,Non-reference / air sensor,FALSE,0.3759,32.528,7,Unknown AirGradient Sensor,1,14507366,https://explore.openaq.org/locations/6113203,Africa,Uganda,UG
6113239,airqo_g5519,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.623977767898304,30.6425034714427,1,N/A,1,14507635,https://explore.openaq.org/locations/6113239,Africa,Uganda,UG
6113240,airqo_g5446,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.315678859347929,32.6350633487738,1,N/A,1,14507653,https://explore.openaq.org/locations/6113240,Africa,Uganda,UG
6113241,airqo_g5548,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.323201369989173,32.6319719413085,1,N/A,1,14507649,https://explore.openaq.org/locations/6113241,Africa,Uganda,UG
6113242,airqo_g5568,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.58759958659695,30.6463194347577,1,N/A,1,14507639,https://explore.openaq.org/locations/6113242,Africa,Uganda,UG
6113243,airqo_g5559,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.535102397448555,30.6468721691672,1,N/A,1,14507645,https://explore.openaq.org/locations/6113243,Africa,Uganda,UG
6113244,airqo_g5477,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.670721495216739,30.572340996574,1,N/A,1,14507631,https://explore.openaq.org/locations/6113244,Africa,Uganda,UG
6113245,airqo_g5481,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.637044135478916,30.616152249661,1,N/A,1,14507633,https://explore.openaq.org/locations/6113245,Africa,Uganda,UG
6113246,airqo_g5455,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.592598134722012,30.6662137773187,1,N/A,1,14507647,https://explore.openaq.org/locations/6113246,Africa,Uganda,UG
6113247,airqo_g5463,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.581599576269334,30.7054493755439,1,N/A,1,14507640,https://explore.openaq.org/locations/6113247,Africa,Uganda,UG
6113248,airqo_g5544,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.623704829220578,30.6675122347399,1,N/A,1,14507637,https://explore.openaq.org/locations/6113248,Africa,Uganda,UG
6113249,airqo_g5437,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.619552186453301,30.6441297603594,1,N/A,1,14507629,https://explore.openaq.org/locations/6113249,Africa,Uganda,UG
6113250,airqo_g5499,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.495739268925595,30.7045345527369,1,N/A,1,14507644,https://explore.openaq.org/locations/6113250,Africa,Uganda,UG
6113251,airqo_g5570,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.525382488128395,30.7382731379789,1,N/A,1,14507642,https://explore.openaq.org/locations/6113251,Africa,Uganda,UG
6113252,airqo_g5449,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.287828075221681,32.6245827905896,1,N/A,1,14507651,https://explore.openaq.org/locations/6113252,Africa,Uganda,UG
6113253,airqo_g5448,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.606604261427554,30.6586246776164,1,N/A,1,14507627,https://explore.openaq.org/locations/6113253,Africa,Uganda,UG
6113254,airqo_g5545,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,-0.59737570815607,30.6963727459157,1,N/A,1,14507638,https://explore.openaq.org/locations/6113254,Africa,Uganda,UG
6114036,Ntinda,,Africa/Kampala,133,UG,Uganda,22712,AirQo,66,AirGradient,FALSE,Non-reference / air sensor,FALSE,0.360209,32.610756,26,AirGradient Open Air Max Generation 1 (O-M-1PPST-CE),1,14513205,https://explore.openaq.org/locations/6114036,Africa,Uganda,UG
6180052,Nebbi Central,,Africa/Kampala,133,UG,Uganda,12,AirGradient,66,AirGradient,FALSE,Non-reference / air sensor,FALSE,2.478561,31.089964,7,Unknown AirGradient Sensor,1,15003752,https://explore.openaq.org/locations/6180052,Africa,Uganda,UG
6336502,airqo_g5433,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.263281479375254,32.6179187251898,1,N/A,1,16166164,https://explore.openaq.org/locations/6336502,Africa,Uganda,UG
6336503,airqo_g5546,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.410556036179691,32.5709112165091,1,N/A,1,16166158,https://explore.openaq.org/locations/6336503,Africa,Uganda,UG
6336504,airqo_g5573,,Africa/Kampala,133,UG,Uganda,1,OpenAQ admin,21,AirQo,FALSE,Non-reference / air sensor,FALSE,0.313564404278341,32.405587681193,1,N/A,1,16166122,https://explore.openaq.org/locations/6336504,Africa,Uganda,UG
